,Sverige,MXSE
2023-06-27,0.0051671415301123265,0.009411453924137593
2023-06-28,-0.0011826430117118465,0.0008822875093904472
2023-06-29,0.006676885381006924,0.0036381454490988976
2023-06-30,0.015430298564080255,0.014461830418347752
2023-07-03,-0.0021415337472333595,0.0003922885511398861
2023-07-04,-0.0021413695694918054,-0.0035567085007293673
2023-07-05,0.015992128155073913,0.01687976701136637
2023-07-06,0.007874347291529088,0.009423615398387762
2023-07-07,-0.004494743859349522,-0.006348604802505688
2023-07-10,0.005625600435859647,0.005506549723736046
2023-07-11,-0.004434176928124623,-0.010916711608262769
2023-07-12,-0.004457297535702569,-0.0065060728183711485
2023-07-13,0.002619622715660341,0.0021144864128740206
2023-07-14,-0.01893280244657798,-0.02142836881050768
2023-07-17,-0.01704917832513033,-0.01378435571726706
2023-07-18,-0.005422875292409727,-0.008283158048330993
2023-07-19,-0.009928311203344238,-0.010808400176738205
2023-07-20,0.003342473325952739,0.003603954480524922
2023-07-21,-0.00888024075521211,-0.005997694177079878
2023-07-24,-0.013923037013352915,-0.016794761315711795
2023-07-25,0.014856487689215542,0.01718281519352546
2023-07-26,-0.0020577630048653566,-0.0020372968828261825
2023-07-27,0.0008752820468792384,-0.0010877352552166634
2023-07-28,-0.014047481862134567,-0.013123274913608027
2023-07-31,-0.005243827245251827,-0.004845707854104887
2023-08-01,0.001309225897098661,0.0001087921427810716
2023-08-02,-0.011309935774223028,-0.01117033160424299
2023-08-03,0.003956980183456719,0.003186352989733199
2023-08-04,-0.005806386899188051,-0.005579352208685554
2023-08-07,-0.002716937497932768,-0.0013926761488906746
2023-08-08,-0.005817066122293969,-0.0026450324900032652
2023-08-09,0.018722781845089378,0.01624715084743568
2023-08-10,6.50277526206608e-05,0.004331094501933194
2023-08-11,-0.010377109289559002,-0.014281284888604006
2023-08-14,0.008425449121031891,0.008121878930960724
2023-08-15,-0.012008436499710222,-0.010831802086741069
2023-08-16,0.0022886359500475543,0.0028506196855176196
2023-08-17,-0.019396701238797758,-0.020642100278438946
2023-08-18,-0.013081860488984305,-0.013498104989698856
2023-08-21,0.0021686123586912355,0.0011826104893735698
2023-08-22,0.007584665799954104,0.006405936286065681
2023-08-23,0.0019136828118997051,0.0036128870059417544
2023-08-24,-0.0009564828238824054,-0.00024245185195231065
2023-08-25,-0.0028110369558928877,-0.004196856146414196
2023-08-28,-0.014585219903674274,-0.012786020152807772
2023-08-29,-0.006998442083947087,-0.006383843042193868
2023-08-30,-0.004406387709597876,-0.0027806634719199554
2023-08-31,0.010771222262189158,0.012030479946036383
2023-09-01,0.003636182895684614,0.0019781928738404697
2023-09-04,-0.01743040155362734,-0.018550763634021278
2023-09-05,0.00344083969394795,0.004935426904194474
2023-09-06,-0.0036508228041631655,-0.0024300822732962355
2023-09-07,-0.006569220003059588,-0.006611023190987884
2023-09-08,0.006316762888408678,0.006551417655026242
2023-09-11,0.01050999522495951,0.01306532501653636
2023-09-12,0.009512801191161987,0.008329658413490327
2023-09-13,-0.008192175232226385,-0.007097980469886309
2023-09-14,-0.002892123758512146,-0.003296509063379934
2023-09-15,0.0035126343140356397,0.003077271907581199
2023-09-18,0.009955451271223593,0.012153004975197973
2023-09-19,-0.0045917423784529,-0.002940909680476841
2023-09-20,-0.0016565897666381711,-2.9570494636893974e-05
2023-09-21,-0.010863349740060282,-0.008252392125751623
2023-09-22,-0.011762066240806708,-0.01172005855754119
2023-09-25,0.008325258223941982,0.00968916416653191
2023-09-26,0.01376240028570823,0.013141866772521318
2023-09-27,-0.0005201012158033386,0.00012823148917354566
2023-09-28,0.010235328978920242,0.009975042870184872
2023-09-29,0.0038163602504763415,0.0040103521804617775
2023-10-02,-0.006251197546051243,-0.005060883495177416
2023-10-03,0.0038139560550841394,0.0021775146886171943
2023-10-04,0.015580365664659692,0.019765140216030614
2023-10-05,-0.0001582603910995154,-0.0021702951540989194
2023-10-06,0.01584643655814006,0.013418059332564597
2023-10-09,-0.025997451040897446,-0.02368122929389731
2023-10-10,0.00841902504375224,0.010002350431678112
2023-10-11,0.0010704706823817121,0.002318710316486022
2023-10-12,-0.002790073504658674,-0.001533382486130114
2023-10-13,0.0011176077653550231,0.0010931142196611938
2023-10-16,-0.01967568914600893,-0.021470197888980594
2023-10-17,-0.0019967188783751194,-0.0018451097619876667
2023-10-18,0.003771125715117464,0.0024168022920932407
2023-10-19,0.014978940447415162,0.016929179914250664
2023-10-20,-0.004982702182736475,-0.005276816945740752
2023-10-23,-0.007884936028931876,-0.0095359304225169
2023-10-24,-0.004817570435845366,-0.005460342119151353
2023-10-25,0.009354021177020742,0.01017988408557199
2023-10-26,0.0034875110965968447,0.002360061990988895
2023-10-27,-0.005097602037670388,-0.006742042828803251
2023-10-30,0.005332674331133561,0.005820048754117385
2023-10-31,0.0011707754934804039,0.0016607086356978493
2023-11-01,0.009886449905328894,0.008872563554586634
2023-11-02,-0.006820530938773524,-0.00776260755001017
2023-11-03,-0.003076621465977682,-0.0026125215912624093
2023-11-06,-0.003721081531321576,-0.006617250214316224
2023-11-07,-0.014435149481321186,-0.017250077030074296
2023-11-08,0.003161202770645761,0.0017243143281408888
2023-11-09,0.0028105527217988932,0.0023836584183751985
2023-11-10,0.0002511345664246089,0.0008729496976206181
2023-11-13,-0.0021458713337514693,0.0008048411001476347
2023-11-14,-0.013953707420504143,-0.012238388174100103
2023-11-15,-0.0040064532276535905,-0.0043263302875804445
2023-11-16,-0.0032271451652676948,-0.0032651775810730722
2023-11-17,-0.00782277269221619,-0.009827831421491807
2023-11-20,-0.0014128571166600913,-0.0014498833886448712
2023-11-21,0.004240508568145384,0.003663191290305107
2023-11-22,0.0190618590121053,0.01970729613278148
2023-11-23,0.0019457781283183898,0.00029131624121374387
2023-11-24,0.0027755039072276436,0.0038141969357099884
2023-11-27,-0.0005444591576616722,0.0025210186683434833
2023-11-28,-0.018987712152990416,-0.01920523244990413
2023-11-29,-6.513875449216876e-05,0.0007382846897057142
2023-11-30,0.0008023020994102644,0.0021825900828324894
2023-12-01,0.02483242112485286,0.024029980181081188
2023-12-04,-0.001723609647811225,-0.0012754246841903917
2023-12-05,0.0032154734233361248,0.0032406582248997143
2023-12-06,-0.0001471176970524331,4.823450004523035e-05
2023-12-07,-0.01148678037619532,-0.013032799943906253
2023-12-08,0.011628228145150207,0.011677248493668092
2023-12-11,0.007719330326867741,0.008715326909358641
2023-12-12,0.00811031947043047,0.011012606686020554
2023-12-13,-0.008893874547947388,-0.006975332895776974
2023-12-14,0.014227943109360992,0.018534308024384105
2023-12-15,-0.013818510627922808,-0.015353205753698907
2023-12-18,0.006068570938002703,0.00781321221144406
2023-12-19,0.022104556258099785,0.02247124026957649
2023-12-20,-0.009705363251306883,-0.005325757384871539
2023-12-21,-0.00546297729602772,-0.007079573866738022
2023-12-22,0.0011965136508764124,-0.0004829300334851397
2023-12-25,-0.004834756541161993,-0.006033541832050037
2023-12-26,-0.015306634310661326,-0.01955442575928094
2023-12-27,0.0008856297480602733,-0.00016588029530124882
2023-12-28,-0.01042303713726105,-0.011941302460368446
2023-12-29,0.004935924306351816,0.005236711879304231
2024-01-01,-0.00899424234233803,-0.008310730390783711
2024-01-02,0.015699344050175396,0.019451685728607167
2024-01-03,-0.007632532923362371,-0.0057316852469902705
2024-01-04,-0.003020615162056756,-0.004174422473381562
2024-01-05,0.008335172173696698,0.0065383428309999814
2024-01-08,-0.012108643164339551,-0.01112480482132654
2024-01-09,0.002474599346041294,-0.00016586706799999028
2024-01-10,0.013271427542824283,0.01693434507453299
2024-01-11,-0.015874832345612277,-0.013515952104169702
2024-01-12,0.002046338585323042,0.0011079872811136325
2024-01-15,0.0027988279424842354,-0.0006274411156975196
2024-01-16,0.008018228717773104,0.01072597346610393
2024-01-17,-0.012169507108780819,-0.012398586799286055
2024-01-18,-0.013004566130842762,-0.010528933506895839
2024-01-19,0.005419415656168976,0.002230560338580242
